Населений пункт,Назва школи,Потенційна кількість інфікованих,Розмір школи
Тернопіль,Тернопільська загальноосвітня школа № 24,15 осіб,1893 особи
Суми,Сумська спеціалізована школа №7 імені Максима Савченка ,11 осіб,2256 осіб
Монастирище,Монастириський заклад загальної середньої освіти І- ІІІ ступенів,10 осіб,959 осіб
Тернопіль,Школа-ліцей №6 ім. Назарія Яремчука,10 осіб,1301 особа
Тернопіль,Тернопільська спеціалізована школа №3 з поглибленим вивченням іноземних мов,10 осіб,1244 особи
Тернопіль,Економічний ліцей №9 імені Іванни Блажкевич,10 осіб,1223 особи
Тернопіль,Загальноосвітня школа №11,10 осіб,1228 осіб
Тернопіль,Загальноосвітня школа №16 імені Володимира Левицького,10 осіб,1210 осіб
Тернопіль,Загальноосвітня школа №19,10 осіб,1290 осіб
Тернопіль,Загальноосвітня школа №23,10 осіб,1284 особи
Тернопіль,Загальноосвітня школа №28,10 осіб,1314 осіб
Тернопіль,Спеціалізована школа №29 з поглибленим вивченням іноземних мов,10 осіб,1295 осіб
