"registration_area";"registration_region";"tot_number_new_cases";"pop_number";"prob";"infections100";"infections200";"infections500";"infections1000"
"Вінницька";"Барський район";18;50000;0.00036;0;0;0;0
"Вінницька";"Бершадський район";48;56776;0.000845427645484007;0;0;0;1
"Вінницька";"Вінницький район";192;81278;0.00236226285095598;0;0;1;2
"Вінницька";"Вінниця";1080;370707;0.00291335205431783;0;1;1;3
"Вінницька";"Гайсинський район";21;55331;0.000379534076738176;0;0;0;0
"Вінницька";"Жмеринка";54;34353;0.0015719151165837;0;0;1;2
"Вінницька";"Жмеринський район";69;32552;0.00211968542639469;0;0;1;2
"Вінницька";"Іллінецький район";18;36249;0.000496565422494414;0;0;0;0
"Вінницька";"Калинівський район";96;56268;0.00170612070804009;0;0;1;2
"Вінницька";"Козятин";66;22951;0.00287569169099386;0;1;1;3
"Вінницька";"Козятинський район";30;37618;0.000797490563028337;0;0;0;1
"Вінницька";"Крижопільський район";30;32134;0.000933590589406859;0;0;0;1
"Вінницька";"Ладижин";0;22589;0;0;0;0;0
"Вінницька";"Липовецький район";9;36123;0.000249148741798854;0;0;0;0
"Вінницька";"Літинський район";15;33691;0.00044522275978748;0;0;0;0
"Вінницька";"Могилів-Подільський";69;30389;0.00227055842574616;0;0;1;2
"Вінницька";"Могилів-Подільський район";96;31793;0.00301953260151606;0;1;2;3
"Вінницька";"Мурованокуриловецький район";3;23971;0.000125151224396145;0;0;0;0
"Вінницька";"Немирівський район";48;46906;0.00102332324222914;0;0;1;1
"Вінницька";"Оратівський район";0;19809;0;0;0;0;0
"Вінницька";"Піщанський район";12;20021;0.000599370660806154;0;0;0;1
"Вінницька";"Погребищенський район";9;28321;0.000317785388934007;0;0;0;0
"Вінницька";"Теплицький район";3;26946;0.000111333778668448;0;0;0;0
"Вінницька";"Тиврівський район";45;40873;0.00110097130134808;0;0;1;1
"Вінницька";"Томашпільський район";45;31944;0.00140871525169046;0;0;1;1
"Вінницька";"Тростянецький район";42;34304;0.00122434701492537;0;0;1;1
"Вінницька";"Тульчинський район";42;53426;0.000786134092015124;0;0;0;1
"Вінницька";"Хмільник";18;27398;0.00065698226147894;0;0;0;1
"Вінницька";"Хмільницький район";75;34576;0.00216913465987969;0;0;1;2
"Вінницька";"Чернівецький район";15;20209;0.000742243554851799;0;0;0;1
"Вінницька";"Чечельницький район";3;20120;0.000149105367793241;0;0;0;0
"Вінницька";"Шаргородський район";54;55359;0.000975451146155097;0;0;0;1
"Вінницька";"Ямпільський район";12;38110;0.000314877984780897;0;0;0;0
"Волинська";"Благодатне";3;4666;0.000642948992713245;0;0;0;1
"Волинська";"Володимир-Волинський";96;38340;0.00250391236306729;0;1;1;3
"Волинська";"Володимир-Волинський район";63;24545;0.00256671419841108;0;1;1;3
"Волинська";"Горохівський район";129;50220;0.00256869772998805;0;1;1;3
"Волинська";"Іваничівський район";15;31231;0.000480292017546668;0;0;0;0
"Волинська";"Камінь-Каширський район";33;63919;0.000516278414868818;0;0;0;1
"Волинська";"Ківерцівський район";123;63576;0.00193469233673084;0;0;1;2
"Волинська";"Ковель";72;68240;0.00105509964830012;0;0;1;1
"Волинська";"Ковельський район";15;40395;0.000371333085777943;0;0;0;0
"Волинська";"Локачинський район";0;21586;0;0;0;0;0
"Волинська";"Луцьк";714;217315;0.00328555322918344;0;1;2;3
"Волинська";"Луцький район";324;66875;0.00484485981308411;0;1;2;5
"Волинська";"Любешівський район";84;35134;0.00239084647350145;0;0;1;2
"Волинська";"Любомльський район";18;38578;0.000466587174037016;0;0;0;0
"Волинська";"Маневицький район";192;53481;0.00359006002131598;0;1;2;4
"Волинська";"Нововолинськ";51;51010;0.000999803960007842;0;0;0;1
"Волинська";"Ратнівський район";36;51817;0.000694752687341992;0;0;0;1
"Волинська";"Рожищенський район";42;38359;0.00109491905419849;0;0;1;1
"Волинська";"Старовижівський район";18;29660;0.000606877950101146;0;0;0;1
"Волинська";"Турійський район";60;25889;0.00231758661979991;0;0;1;2
"Волинська";"Шацький район";24;16585;0.00144709074464878;0;0;1;1
"Дніпропетровська";"Апостолівський район";0;52509;0;0;0;0;0
"Дніпропетровська";"Верхньодніпровський район";9;51469;0.000174862538615477;0;0;0;0
"Дніпропетровська";"Дніпро";1116;990724;0.00112644894037088;0;0;1;1
"Дніпропетровська";"Дніпровський район";81;83879;0.000965676748649841;0;0;0;1
"Дніпропетровська";"Жовті Води";9;43591;0.000206464637195751;0;0;0;0
"Дніпропетровська";"Кам’янське";21;231915;9.05504171787077e-05;0;0;0;0
"Дніпропетровська";"Карнаухівка";3;6645;0.000451467268623025;0;0;0;0
"Дніпропетровська";"Кривий Ріг";324;619278;0.000523189908247992;0;0;0;1
"Дніпропетровська";"Криворізький район";3;43807;6.84822060401306e-05;0;0;0;0
"Дніпропетровська";"Криничанський район";3;34133;8.78914833152667e-05;0;0;0;0
"Дніпропетровська";"Магдалинівський район";12;32844;0.000365363536719035;0;0;0;0
"Дніпропетровська";"Марганець";3;46097;6.50801570601124e-05;0;0;0;0
"Дніпропетровська";"Межівський район";3;22579;0.000132866823154258;0;0;0;0
"Дніпропетровська";"Нікополь";24;109122;0.000219937317864409;0;0;0;0
"Дніпропетровська";"Нікопольський район";0;38879;0;0;0;0;0
"Дніпропетровська";"Новомосковськ";30;70357;0.000426396804866609;0;0;0;0
"Дніпропетровська";"Новомосковський район";27;71613;0.000377026517531733;0;0;0;0
"Дніпропетровська";"П'ятихатський район";3;43469;6.90147001311279e-05;0;0;0;0
"Дніпропетровська";"Павлоград";60;104225;0.000575677620532502;0;0;0;1
"Дніпропетровська";"Павлоградський район";3;26723;0.000112262844740486;0;0;0;0
"Дніпропетровська";"Першотравенськ";0;27892;0;0;0;0;0
"Дніпропетровська";"Петриківський район";0;24479;0;0;0;0;0
"Дніпропетровська";"Петропавлівський район";0;25119;0;0;0;0;0
"Дніпропетровська";"Покров";6;38570;0.000155561317085818;0;0;0;0
"Дніпропетровська";"Синельниківський район";15;36845;0.000407110869860225;0;0;0;0
"Дніпропетровська";"Синельникове";6;30321;0.000197882655585238;0;0;0;0
"Дніпропетровська";"Солонянський район";21;37429;0.000561062277912848;0;0;0;1
"Дніпропетровська";"Софіївський район";9;20562;0.000437700612780858;0;0;0;0
"Дніпропетровська";"Тернівка";0;27635;0;0;0;0;0
"Дніпропетровська";"Томаківський район";3;23749;0.00012632110825719;0;0;0;0
"Дніпропетровська";"Царичанський район";9;26079;0.000345105257103417;0;0;0;0
"Дніпропетровська";"Широківський район";3;25696;0.000116749688667497;0;0;0;0
"Дніпропетровська";"Юр'ївський район";6;12643;0.00047457090880329;0;0;0;0
"Донецька";"Бахмут";60;73212;0.00081953778069169;0;0;0;1
"Донецька";"Біленьке";3;9371;0.000320136591612421;0;0;0;0
"Донецька";"Великоновосілківський район";0;37144;0;0;0;0;0
"Донецька";"Волноваський район";15;95805;0.000156568028808517;0;0;0;0
"Донецька";"Вугледар";18;14616;0.00123152709359606;0;0;1;1
"Донецька";"Добропілля";0;29129;0;0;0;0;0
