"region";"district_name";"school_name";"edrpo";"tot_people";"pop_number";"prob";"pot_infections"
"Вінницька";"Жмеринка";"Загальноосвітня школа І-ІІІ ступенів №1 комунальної власності територіальної громади міста Жмеринки Вінницької області
";26244113;603;34353;0.0015719151165837;1
"Вінницька";"Жмеринка";"Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ст.-ліцей"" комунальної власності територіальної громади міста Жмеринки Вінницької області";26244107;917;34353;0.0015719151165837;1
"Вінницька";"Жмеринка";"Загальноосвітня школа І-ІІІ ступенів №3 комунальної власності територіальної громади міста Жмеринки Вінницької області";26244136;1086;34353;0.0015719151165837;2
"Вінницька";"Жмеринка";"Загальноосвітня школа I-III ступенів №4 комунальної властності теріторіальної громади міста Жмеринки Вінницької області";26244099;937;34353;0.0015719151165837;1
"Вінницька";"Жмеринка";"Навчально - виховний комплекс ""Загальноосвітня школа І-ІІІ ст. - гімназія"" комунальної власності територіальної громади міста Жмеринки Вінницької області";23064971;957;34353;0.0015719151165837;2
"Вінницька";"Жмеринка";"Загальноосвітня школа І-ІІІ ст. №6 комунальної власності територіальної громади м. Жмеринки Вінницької області ";26244128;925;34353;0.0015719151165837;1
"Вінницька";"Жмеринка";"Жуковецька загальноосвітня школа І - ІІ ступенів";26242628;103;34353;0.0015719151165837;0
"Вінницька";"Жмеринка";"Заклад загальної середньої освіти І - ІІ ступенів с. Коростівці";26242344;100;34353;0.0015719151165837;0
"Вінницька";"Жмеринка";"Рівська загальноосвітня школа І-ІІ ступенів";26242456;72;34353;0.0015719151165837;0
"Вінницька";"Жмеринка";"Заклад загальної середньої освіти І-ІІ ступенів села Щучинці";26242462;58;34353;0.0015719151165837;0
"Вінницька";"Козятин";"КНЗ ""Загальноосвітня школа І-ІІІ ступенів №3 Козятинської міської ради Вінницької області""";25844992;359;22951;0.00287569169099386;1
"Вінницька";"Козятин";"Комунальний навчальний заклад ""Спеціалізована школа І-ІІІ ступенів №1 ім. Т.Г. Шевченка"" Козятинської міської ради Вінницької обл.";23101028;894;22951;0.00287569169099386;3
"Вінницька";"Козятин";"Загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""школа-дитячий садок"" №6 Козятинської міської ради Вінницької області";26031191;154;22951;0.00287569169099386;0
"Вінницька";"Козятин";"Комунальний навчальний заклад ""Загальноосвітня школа І - ІІІ ступенів № 2 Козятинської міської ради Вінницької області""";25844928;570;22951;0.00287569169099386;2
"Вінницька";"Козятин";"""Загальноосвітня середня школа І-ІІІ ступенів №5 Козятинської міської ради Вінницької області""";25844970;507;22951;0.00287569169099386;1
"Вінницька";"Козятин";"Комунальний заклад ""Навчально-виховний комплекс І-ІІІ ступенів ""ліцей-школа"" Козятинської міської ради Вінницької області""";25512362;871;22951;0.00287569169099386;3
"Вінницька";"Ладижин";"Ладижинський навчально-виховний комплекс №1 (загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад) Ладижинської міської ради Вінницької області";26219581;295;22589;0;0
"Вінницька";"Ладижин";"Ладижинська загальноосвітня школа І-ІІІ ступенів №2 Ладижинської міської ради Вінницької області";25945998;1034;22589;0;0
"Вінницька";"Ладижин";"Ладижинська загальноосвітня школа І-ІІІ ступенів №3 Ладижинської міської ради Вінницької області ";26219569;709;22589;0;0
"Вінницька";"Ладижин";"Ладижинська загальноосвітня школа І-ІІІ ступенів №4 Ладижинської міської ради Вінницької області";24902799;756;22589;0;0
"Вінницька";"Могилів-Подільський";"Гімназія №1 м. Могилева-Подільського Вінницької області";43125182;810;30389;0.00227055842574616;2
"Вінницька";"Могилів-Подільський";"Гімназія № 2 м.Могилева-Подільського Вінницької області";43125858;795;30389;0.00227055842574616;2
"Вінницька";"Могилів-Подільський";"Навчально-виховний комплекс №3 «загальноосвітній навчальний заклад - дошкільний навчальний заклад» м. Могилева - Подільського Вінницької області";40686503;919;30389;0.00227055842574616;2
"Вінницька";"Могилів-Подільський";"Навчально-виховний комплекс: загальноосвітня школа I-III ступенів №4-ліцей
м.Могилева-Подільського, Вінницької області.";25505729;889;30389;0.00227055842574616;2
"Вінницька";"Могилів-Подільський";"Гімназія №5 м. Могилева-Подільского Вінницької області";43126060;519;30389;0.00227055842574616;1
"Вінницька";"Барський район";"Верхівська загальноосвітня школа І-ІІІ ступенів";26229444;133;50000;0.00036;0
"Вінницька";"Барський район";"Войнашівська загальноосвітня школа І-ІІІ ступенів";13326973;487;50000;0.00036;0
"Вінницька";"Барський район";"Гулівський НВК ""ЗЗСО І-ІІ ступенів - ЗДО""";26229480;110;50000;0.00036;0
"Вінницька";"Барський район";"Журавлівська загальноосвітня школа І-ІІ ступенів, с. Журавлівка";24895160;95;50000;0.00036;0
"Вінницька";"Барський район";"Копайгородська ЗОШ І-ІІІ ст. ім. О.С.Пушкіна";13326542;377;50000;0.00036;0
"Вінницька";"Барський район";"Комаровецький навчально-виховний комплекс ""Заклад загальної середньої освіти І-ІІ ступенів - заклад дошкільної освіти"" Н";26229527;106;50000;0.00036;0
