code;oblast;name;pop_number
500000000;Вінницька;Вінницька область;1545416
510100000;Вінницька;м. Вінниця;370707
510300000;Вінницька;м. Жмеринка;34353
510400000;Вінницька;м. Могилів-Подільський (міськрада);30564
510410100;Вінницька;м. Могилів-Подільський;30389
510500000;Вінницька;м. Козятин (міськрада);23926
510510100;Вінницька;м. Козятин;22951
510541000;Вінницька;смт Залізничне;975
510600000;Вінницька;м. Ладижин (міськрада);23760
510610100;Вінницька;м. Ладижин;22589
510900000;Вінницька;м. Хмільник;27398
520200000;Вінницька;Барський район;50000
520210100;Вінницька;м. Бар;15775
520255300;Вінницька;смт Копайгород;1243
520400000;Вінницька;Бершадський район;56776
520410100;Вінницька;м. Бершадь;12552
520600000;Вінницька;Вінницький район;81278
520655300;Вінницька;смт Вороновиця;6433
520655500;Вінницька;смт Десна;1287
520655900;Вінницька;смт Стрижавка;9232
520800000;Вінницька;Гайсинський район;55331
520810100;Вінницька;м. Гайсин;25818
521000000;Вінницька;Жмеринський район;32552
521055300;Вінницька;смт Браїлів;4515
521200000;Вінницька;Іллінецький район;36249
521210100;Вінницька;м. Іллінці;11219
521255400;Вінницька;смт Дашів;3822
521400000;Вінницька;Козятинський район;37618
521455300;Вінницька;смт Бродецьке;2111
521455500;Вінницька;смт Глухівці;3212
521600000;Вінницька;Калинівський район;56268
521610100;Вінницька;м. Калинівка;18832
521900000;Вінницька;Крижопільський район;32134
521955100;Вінницька;смт Крижопіль;8664
522200000;Вінницька;Липовецький район;36123
522210100;Вінницька;м. Липовець;8181
522255500;Вінницька;смт Турбів;6214
522400000;Вінницька;Літинський район;33691
522455100;Вінницька;смт Літин;6625
522600000;Вінницька;Могилів-Подільський район;31793
522655500;Вінницька;смт Вендичани;3734
522800000;Вінницька;Мурованокуриловецький район;23971
522855100;Вінницька;смт Муровані Курилівці;5820
523000000;Вінницька;Немирівський район;46906
523010100;Вінницька;м. Немирів;11588
523055300;Вінницька;смт Брацлав;5092
523055600;Вінницька;смт Ситківці;2215
523100000;Вінницька;Оратівський район;19809
523155100;Вінницька;смт Оратів;2771
523200000;Вінницька;Піщанський район;20021
523255100;Вінницька;смт Піщанка;5303
523255400;Вінницька;смт Рудниця;1129
523400000;Вінницька;Погребищенський район;28321
523410100;Вінницька;м. Погребище;9514
523700000;Вінницька;Теплицький район;26946
523755100;Вінницька;смт Теплик;6239
523900000;Вінницька;Томашпільський район;31944
523955100;Вінницька;смт Томашпіль;5435
523955400;Вінницька;смт Вапнярка;7412
524100000;Вінницька;Тростянецький район;34304
524155100;Вінницька;смт Тростянець;7496
