region;district_name;school_name;teachers;technical;students;edrpo
Вінницька;Жмеринка;"Загальноосвітня школа І-ІІІ ступенів №1 комунальної власності територіальної громади міста Жмеринки Вінницької області
";44;20;539;26244113
Вінницька;Жмеринка;"Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ст.-ліцей"" комунальної власності територіальної громади міста Жмеринки Вінницької області";59;18;840;26244107
Вінницька;Жмеринка;Загальноосвітня школа І-ІІІ ступенів №3 комунальної власності територіальної громади міста Жмеринки Вінницької області;82;23;981;26244136
Вінницька;Жмеринка;Загальноосвітня школа I-III ступенів №4 комунальної властності теріторіальної громади міста Жмеринки Вінницької області;61;22;854;26244099
Вінницька;Жмеринка;"Навчально - виховний комплекс ""Загальноосвітня школа І-ІІІ ст. - гімназія"" комунальної власності територіальної громади міста Жмеринки Вінницької області";70;23;864;23064971
Вінницька;Жмеринка;Загальноосвітня школа І-ІІІ ст. №6 комунальної власності територіальної громади м. Жмеринки Вінницької області ;70;30;825;26244128
Вінницька;Жмеринка;Жуковецька загальноосвітня школа І - ІІ ступенів;17;7;79;26242628
Вінницька;Жмеринка;Заклад загальної середньої освіти І - ІІ ступенів с. Коростівці;15;4;81;26242344
Вінницька;Жмеринка;Рівська загальноосвітня школа І-ІІ ступенів;16;6;50;26242456
Вінницька;Жмеринка;Заклад загальної середньої освіти І-ІІ ступенів села Щучинці;10;4;44;26242462
Вінницька;Козятин;"КНЗ ""Загальноосвітня школа І-ІІІ ступенів №3 Козятинської міської ради Вінницької області""";32;15;312;25844992
Вінницька;Козятин;"Комунальний навчальний заклад ""Спеціалізована школа І-ІІІ ступенів №1 ім. Т.Г. Шевченка"" Козятинської міської ради Вінницької обл.";63;21;810;23101028
Вінницька;Козятин;"Загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""школа-дитячий садок"" №6 Козятинської міської ради Вінницької області";25;19;110;26031191
Вінницька;Козятин;"Комунальний навчальний заклад ""Загальноосвітня школа І - ІІІ ступенів № 2 Козятинської міської ради Вінницької області""";40;17;513;25844928
Вінницька;Козятин;"""Загальноосвітня середня школа І-ІІІ ступенів №5 Козятинської міської ради Вінницької області""";39;18;450;25844970
Вінницька;Козятин;"Комунальний заклад ""Навчально-виховний комплекс І-ІІІ ступенів ""ліцей-школа"" Козятинської міської ради Вінницької області""";63;27;781;25512362
Вінницька;Ладижин;Ладижинський навчально-виховний комплекс №1 (загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад) Ладижинської міської ради Вінницької області;33;26;236;26219581
Вінницька;Ладижин;Ладижинська загальноосвітня школа І-ІІІ ступенів №2 Ладижинської міської ради Вінницької області;71;27;936;25945998
Вінницька;Ладижин;Ладижинська загальноосвітня школа І-ІІІ ступенів №3 Ладижинської міської ради Вінницької області ;51;20;638;26219569
Вінницька;Ладижин;Ладижинська загальноосвітня школа І-ІІІ ступенів №4 Ладижинської міської ради Вінницької області;51;24;681;24902799
Вінницька;Могилів-Подільський;Гімназія №1 м. Могилева-Подільського Вінницької області;59;19;732;43125182
Вінницька;Могилів-Подільський;Гімназія № 2 м.Могилева-Подільського Вінницької області;57;20;718;43125858
Вінницька;Могилів-Подільський;Навчально-виховний комплекс №3 «загальноосвітній навчальний заклад - дошкільний навчальний заклад» м. Могилева - Подільського Вінницької області;78;45;796;40686503
Вінницька;Могилів-Подільський;"Навчально-виховний комплекс: загальноосвітня школа I-III ступенів №4-ліцей
м.Могилева-Подільського, Вінницької області.";65;17;807;25505729
Вінницька;Могилів-Подільський;Гімназія №5 м. Могилева-Подільского Вінницької області;39;26;454;43126060
Вінницька;Барський район;Верхівська загальноосвітня школа І-ІІІ ступенів;22;18;93;26229444
Вінницька;Барський район;Войнашівська загальноосвітня школа І-ІІІ ступенів;60;28;399;13326973
Вінницька;Барський район;"Гулівський НВК ""ЗЗСО І-ІІ ступенів - ЗДО""";16;15;79;26229480
Вінницька;Барський район;Журавлівська загальноосвітня школа І-ІІ ступенів, с. Журавлівка;18;9;68;24895160
Вінницька;Барський район;Копайгородська ЗОШ І-ІІІ ст. ім. О.С.Пушкіна;33;30;314;13326542
Вінницька;Барський район;"Комаровецький навчально-виховний комплекс ""Заклад загальної середньої освіти І-ІІ ступенів - заклад дошкільної освіти"" Н";19;15;72;26229527
Вінницька;Барський район;"Луко-Барський НВК""Загальноосвітня школа І-ІІІступенів-дошкільний навчальний заклад""";20;21;114;26229533
Вінницька;Барський район;Маньковецька загальноосвітня школа І-ІІІ ступенів;16;13;66;26229544
Вінницька;Барський район;Поповецька загальноосвітня школа І-ІІІ ступенів ;18;11;132;13338114
Вінницька;Барський район;"Балківський навчально- виховний комплекс ""дошкільний навчальний заклад- загальноовітня школа"" І-ІІ ступненів";22;14;146;13337681
Вінницька;Барський район;Гаївська загальноосвітня школа -сад І-ІІ ступенів ;21;17;79;26233598
Вінницька;Барський район;Гармацька загальноосвітня школа І-ІІ ступенів;22;13;94;26233612
Вінницька;Барський район;Кузьминецька загальноосвітня школа I-II ступенів Барського району Вінницької області;18;12;95;26233658
Вінницька;Барський район;"Матейківський навчально-виховний комплекс ""Загальноосвітня школа І-ІІ ступенів - дошкільний навчальний заклад""";20;13;68;26233687
Вінницька;Барський район;"Мигалівецький навчально-виховний комплекс ""Заклад загальної середньої освіти І-ІІ ступенів - заклад дошкільної освіти"" імені Анатолія Гарматюка";23;17;65;26233693
Вінницька;Барський район;"Підлісноялтушківський навчально-виховний комплекс "" Загальноосвітня школа І-ІІ ступенів - дошкільний навчальний заклад""";13;13;39;26233701
Вінницька;Барський район;Сеферівська загальноосвітня школа - сад І-ІІ ступенів Барського району Вінницької області;19;17;64;26233718
Вінницька;Барський район;Терешківська загальноосвітня школа І-ІІ ступенів Барського району Вінницької області;21;16;167;26233747
Вінницька;Барський район;"Чемериський навчально - виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І - ІІ ступенів""";17;15;62;26229214
Вінницька;Барський район;Ялтушківська загальноосвітня школа І-ІІІ ступенів Барської районної ради Вінницької області;38;24;270;13326430
Вінницька;Барський район;Івановецька загальноосвітня школа І - ІІ ступенів;19;13;77;26233635
Вінницька;Барський район;Кошаринецька загальноосвітня школа І-ІІ ступенів;15;8;71;26233641
Вінницька;Барський район;Митківська загальноосвітня школа І-ІІІ ступенів Барського району Вінницької області;20;12;77;26229556
Вінницька;Барський район;"Мальчовецький навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І-ІІ ступенів""";20;17;61;26233664
Вінницька;Барський район;Лісівська загальноосвітня школа І ступеня;5;5;25;26243450
Вінницька;Барський район;Окладнянська загальноосвітня школа - сад І ступеня;9;5;49;26243438
Вінницька;Барський район;Киянівська загальноосвітня школа - сад І ступенчя;6;8;19;26229208
Вінницька;Барський район;Каришківська загальноосвітня школа І-ІІІ ступенів;22;17;87;2141288
Вінницька;Барський район;"Марянівський навчально-виховний комплекс ""ДНЗ-ЗОШ"" Іступеня";7;10;15;2141288
Вінницька;Бершадський район;Великокиріївська загальноосвітня школа І-ІІІ ступенів;17;9;157;26228249
Вінницька;Бершадський район;П'ятківська загальноосвітня школа І-ІІІ ступенів;18;14;107;26228278
Вінницька;Бершадський район;Сумівська загальноосвітня школа І-ІІІ ступенів;18;11;71;26228321
Вінницька;Бершадський район;Бершадська загальноосвітня школа І-ІІІ ступенів №2 ;30;14;234;23056463
Вінницька;Бершадський район;Війтівська загальноосвітня школа І-ІІІ ступенів;37;19;460;26142269
Вінницька;Бершадський район;Яланецька загальноосвітня школа І-ІІІ ступенів;19;13;154;26228232
Вінницька;Бершадський район;Ставківська загальноосвітня школа І-ІІ ступенів;15;8;85;26228195
Вінницька;Бершадський район;Красносільська загальноосвітня школа І-ІІІ ступенів ;20;12;212;26228338
Вінницька;Бершадський район;М'якохідська загальноосвітня школа І-ІІ ступенів;14;11;71;26228143
